tier,page_id,url_slug,page_title,target_keyword,parent_page_id,category,estimated_traffic,priority,status,notes
BIG,9001,/onsen-ranking/,人気温泉地ランキング2026,温泉地 ランキング,,BH01,10000-20000,1,planned,総合ランキングページ
MID,9101,/onsen-ranking/bath-rating/,お風呂評価が高い温泉地ランキング,温泉 風呂 ランキング,9001,BH01,1000-2000,2,planned,評価項目別
MID,9102,/onsen-ranking/meal-rating/,料理評価が高い温泉地ランキング,温泉 料理 ランキング,9001,BH01,1000-2000,2,planned,評価項目別
MID,9103,/onsen-ranking/service-rating/,サービス評価が高い温泉地ランキング,温泉 おもてなし ランキング,9001,BH01,500-1000,2,planned,評価項目別
MID,9104,/onsen-ranking/room-rating/,部屋評価が高い温泉地ランキング,温泉旅館 部屋 綺麗,9001,BH01,500-1000,2,planned,評価項目別
MID,9105,/onsen-ranking/equipment-rating/,設備評価が高い温泉地ランキング,温泉 設備 充実,9001,BH01,300-800,3,planned,評価項目別
MID,9111,/onsen-ranking/kanto/,関東の温泉地ランキング,関東 温泉 ランキング,9001,BH01,2000-5000,2,planned,地域別
MID,9112,/onsen-ranking/kansai/,関西の温泉地ランキング,関西 温泉 ランキング,9001,BH01,2000-5000,2,planned,地域別
MID,9113,/onsen-ranking/kyushu/,九州の温泉地ランキング,九州 温泉 ランキング,9001,BH01,1500-3000,2,planned,地域別
MID,9114,/onsen-ranking/tohoku/,東北の温泉地ランキング,東北 温泉 ランキング,9001,BH01,1000-2000,2,planned,地域別
MID,9115,/onsen-ranking/hokkaido/,北海道の温泉地ランキング,北海道 温泉 ランキング,9001,BH01,1500-3000,2,planned,地域別
MID,9116,/onsen-ranking/chubu/,中部の温泉地ランキング,中部 温泉 ランキング,9001,BH01,1000-2000,3,planned,地域別
LOW,10001,/onsen/hakone/,箱根温泉の旅館ランキング,箱根 温泉 旅館 ランキング,9111,BH01,5000-10000,1,planned,関東エリア・個別温泉地
LOW,10002,/onsen/kusatsu/,草津温泉の旅館ランキング,草津温泉 旅館 おすすめ,9111,BH01,3000-8000,1,planned,関東エリア・個別温泉地
LOW,10003,/onsen/atami/,熱海温泉の旅館ランキング,熱海 温泉旅館 ランキング,9111,BH01,4000-9000,1,planned,関東エリア・個別温泉地
